CustomerId,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
100000,452,France,Male,61,3,155159.24,1,0,0,49694.93,1
100001,785,Germany,Female,23,1,190631.42,4,1,1,27337.13,0
100002,620,France,Female,45,1,183889.55,1,0,1,88131.0,1
100003,456,Spain,Female,62,3,203605.89,1,0,1,76732.83,1
100004,421,Germany,Male,43,5,8046.1,3,0,1,112128.37,0
100005,370,Germany,Female,45,4,11933.45,1,1,0,152317.34,1
100006,471,Germany,Female,57,0,197345.74,1,0,1,31388.06,1
100007,816,Germany,Male,32,9,133269.71,1,1,0,160313.86,0
100008,564,Spain,Male,23,0,144535.17,1,1,1,14995.1,0
100009,680,France,Female,44,5,13146.72,4,0,0,94189.36,0
100010,808,Germany,Female,55,2,63828.45,4,1,1,121611.75,0
100011,437,Spain,Female,21,2,159588.58,4,1,1,191829.75,0
100012,722,Germany,Male,28,6,214795.47,1,1,1,119045.38,0
100013,449,France,Male,38,0,229245.85,4,1,0,40162.35,1
100014,480,Germany,Female,47,0,125104.87,2,0,1,108332.94,0
100015,658,Spain,Male,35,9,136368.56,2,1,1,85198.95,0
100016,693,France,Female,52,2,208262.41,2,0,1,101077.56,1
100017,841,Spain,Female,20,7,134406.15,3,1,1,47448.43,0
100018,763,France,Male,79,0,129214.63,1,0,0,105157.14,1
100019,735,France,Female,29,9,226271.01,3,0,0,38507.56,1
100020,541,France,Male,44,3,197483.18,4,1,0,151368.19,1
100021,626,Germany,Male,70,8,227268.13,1,1,0,122842.19,1
100022,510,Spain,Female,47,3,54561.76,2,1,1,24920.26,0
100023,809,Spain,Male,38,9,131093.87,1,1,1,179026.75,0
100024,663,Spain,Female,55,7,210618.03,3,1,1,127112.12,1
100025,371,France,Male,38,6,27786.96,4,0,0,70060.34,0
100026,602,Germany,Female,77,2,198665.54,4,0,1,18672.06,1
100027,824,France,Female,55,6,45743.35,3,0,0,130123.07,1
100028,408,Spain,Female,57,6,202029.69,1,1,0,80953.65,1
100029,860,Germany,Male,32,9,153000.23,3,1,0,182447.44,1
100030,825,Germany,Female,35,2,48309.0,4,1,1,16626.79,0
100031,539,Germany,Male,69,1,118338.54,2,0,1,17429.46,0
100032,593,Spain,Male,46,8,170476.29,4,1,1,190366.86,0
100033,854,Germany,Male,65,0,158463.23,4,0,0,193326.05,1
100034,480,Germany,Male,55,6,106811.8,1,0,1,15271.02,0
100035,834,France,Male,77,3,224841.63,2,1,1,146046.31,1
100036,370,France,Female,38,1,129815.85,4,0,0,52084.02,0
100037,516,Germany,Male,34,1,126466.82,2,0,1,143264.63,0
100038,623,Germany,Female,58,7,15562.65,3,0,1,175059.23,0
100039,737,France,Female,68,6,230530.1,1,1,0,29157.98,1
100040,665,France,Male,35,6,44279.14,2,0,0,55365.62,0
100041,363,France,Female,74,4,132086.17,2,1,1,14574.76,0
100042,591,Spain,Female,72,9,200891.9,1,1,0,18327.67,1
100043,695,Spain,Male,54,7,53863.32,3,0,1,15627.39,0
100044,689,France,Female,77,1,131843.32,2,1,1,162129.65,0
100045,441,Germany,Male,55,1,60171.23,1,0,0,66675.61,1
100046,716,France,Male,29,4,189923.75,4,1,0,103710.17,1
100047,804,Spain,Male,28,0,141085.29,1,1,0,159690.41,0
100048,777,Germany,Female,65,5,213993.97,4,1,0,104039.3,1
100049,858,Spain,Female,69,3,223639.5,2,1,1,91547.25,1
100050,384,Germany,Female,66,5,162183.37,2,1,0,12198.91,1
100051,555,Spain,Female,37,6,181347.81,2,1,0,117927.51,1
100052,430,Germany,Male,26,2,137305.02,3,1,0,33701.18,0
100053,737,Germany,Male,18,10,96107.18,3,0,0,155283.17,0
100054,351,Germany,Female,75,7,162029.48,4,0,1,58970.17,1
100055,739,Germany,Male,20,6,227072.16,1,0,0,138095.61,1
100056,455,Spain,Female,38,0,104170.1,4,1,0,132782.47,0
100057,826,Spain,Male,40,5,78602.51,1,0,1,127168.36,0
100058,751,Germany,Male,26,6,97109.23,2,1,0,60720.88,0
100059,511,Germany,Male,71,10,108849.41,1,1,1,60747.06,0
100060,551,Spain,Male,36,3,18390.26,3,1,1,173979.13,0
100061,619,Germany,Male,62,1,124610.46,1,1,1,12433.39,1
100062,620,Germany,Female,72,9,123578.56,1,1,1,44489.3,1
100063,805,Germany,Female,63,8,147110.96,2,1,0,125932.47,1
100064,811,France,Male,69,6,90705.01,2,1,1,165238.79,0
100065,601,Germany,Female,36,0,153276.9,3,1,0,78085.65,1
100066,645,France,Male,79,7,219554.08,1,0,1,134154.26,1
100067,687,Germany,Male,40,2,238867.75,1,1,1,115859.72,0
100068,402,Spain,Male,44,3,145903.05,1,0,0,22262.62,1
100069,566,France,Male,44,4,10647.74,2,0,0,128132.54,0
100070,537,France,Female,56,0,242309.0,3,1,1,164641.66,1
100071,729,Germany,Male,53,5,176465.52,1,0,0,198565.18,1
100072,842,Germany,Female,29,9,83990.91,1,1,1,15631.61,0
100073,390,France,Male,72,5,36789.43,1,0,0,135411.05,1
100074,506,Spain,Male,44,1,35854.65,1,1,1,88764.42,0
100075,364,Spain,Female,63,10,41936.1,3,0,0,11859.7,1
100076,414,Germany,Male,51,9,11393.13,3,1,0,126728.58,1
100077,870,Spain,Male,50,5,225538.55,3,0,1,33261.19,0
100078,693,Spain,Female,45,7,135192.06,2,1,1,81927.7,0
100079,478,Germany,Female,48,5,174989.85,1,1,1,59659.75,0
100080,821,Spain,Female,49,3,207027.13,1,0,0,78621.05,1
100081,412,Germany,Male,67,3,197885.25,1,0,0,103612.16,1
100082,488,France,Male,37,8,220651.41,1,0,1,78249.81,1
100083,848,Germany,Female,57,5,241813.66,4,0,0,115019.06,1
100084,741,France,Female,52,7,109767.65,3,1,1,55343.44,0
100085,768,France,Male,48,7,237583.87,4,0,0,130718.74,1
100086,638,Spain,Male,75,6,180822.49,4,0,0,172214.97,1
100087,728,Spain,Female,48,2,17667.05,2,1,0,52572.74,0
100088,839,Spain,Female,55,9,170445.78,2,1,1,106496.67,0
100089,580,Germany,Female,39,0,171679.16,1,1,0,133251.06,1
100090,390,Spain,Female,62,4,226465.14,4,0,0,117278.96,1
100091,377,France,Male,58,9,93233.03,4,0,0,79473.39,1
100092,484,Spain,Male,26,9,146227.88,3,0,0,132017.94,0
100093,550,Spain,Male,69,1,3046.89,4,0,1,15366.78,0
100094,382,Germany,Male,26,9,83018.81,2,1,0,80282.18,0
100095,397,Germany,Female,32,1,15560.93,4,0,0,111196.32,0
100096,852,France,Male,30,6,130468.24,2,0,0,13916.5,0
100097,756,Germany,Female,39,10,204361.91,1,1,0,106453.28,1
100098,448,Spain,Male,33,2,51610.67,2,1,1,134308.35,0
100099,896,Germany,Male,49,7,131860.26,1,1,0,154249.46,0
100100,811,France,Male,19,8,51002.16,3,0,0,31541.08,0
100101,354,Spain,Female,43,7,30172.12,1,0,0,198207.33,1
100102,567,France,Male,31,5,127749.2,4,1,0,125171.86,0
100103,852,Germany,Female,76,4,19787.16,2,0,1,79006.82,0
100104,747,Germany,Female,55,2,146838.66,1,0,0,57327.64,1
100105,742,France,Male,51,2,7834.37,1,1,0,118850.4,1
100106,556,Spain,Female,25,6,26678.74,1,1,1,177525.21,0
100107,364,Germany,Male,53,4,137499.37,1,1,0,108907.43,1
100108,810,Germany,Female,38,5,147851.85,1,0,1,135679.69,0
100109,590,Spain,Male,73,5,7246.73,1,0,0,77962.32,1
100110,445,Germany,Female,63,8,143344.2,2,0,0,83748.93,1
100111,834,France,Female,60,0,209625.63,4,1,0,64373.27,1
100112,756,Germany,Male,73,7,180579.04,4,0,0,144071.09,1
100113,580,Germany,Male,45,9,32796.28,1,0,0,78245.64,1
100114,520,Spain,Male,63,4,148118.66,2,1,0,46236.12,1
100115,890,France,Male,61,5,168063.13,1,0,0,80186.11,1
100116,385,Spain,Female,65,5,9307.8,3,0,0,172227.17,1
100117,874,Germany,Female,23,0,213836.92,4,1,0,150267.89,1
100118,509,Germany,Female,37,2,226566.85,1,1,0,73581.76,1
100119,592,Spain,Female,48,5,212613.07,2,1,0,182293.7,1
100120,435,Spain,Male,50,10,206157.87,4,1,0,24218.2,1
100121,377,Spain,Female,61,10,186241.3,2,1,1,19453.22,1
100122,689,France,Male,24,8,158358.01,3,0,0,34219.37,1
100123,680,Germany,Female,25,5,169656.75,1,1,1,32126.4,0
100124,855,Spain,Male,26,5,201598.82,3,1,1,26688.52,0
100125,697,Germany,Male,19,0,165624.61,4,1,0,135655.1,1
100126,822,France,Male,34,8,81931.74,1,0,1,124160.05,0
100127,580,France,Male,69,3,93990.28,4,0,0,133045.05,1
100128,539,France,Male,62,1,224264.37,1,1,0,140789.55,1
100129,574,France,Female,54,0,4280.52,2,0,1,153807.15,0
100130,734,Germany,Male,59,2,174705.15,4,0,1,49363.62,1
100131,726,France,Female,61,2,238694.39,3,0,1,128237.67,0
100132,632,France,Female,34,4,176557.04,3,1,0,120209.25,1
100133,608,Spain,Male,70,0,248478.0,2,0,1,189295.4,1
100134,708,France,Female,55,6,171886.23,2,0,1,54149.87,1
100135,805,Spain,Female,52,0,8590.76,3,1,1,21157.36,0
100136,760,France,Female,77,3,206752.47,2,1,0,134164.06,1
100137,667,France,Male,64,5,71157.48,1,0,0,150632.84,1
100138,574,Spain,Male,56,0,111514.31,3,1,1,63807.24,0
100139,583,France,Male,47,6,78022.98,4,1,1,118461.2,0
100140,723,Germany,Male,23,9,67138.53,3,1,1,21311.85,0
100141,821,Germany,Female,21,6,107851.43,2,1,1,192408.52,0
100142,582,France,Female,68,2,94687.86,1,0,1,30885.74,1
100143,462,Germany,Female,54,3,158334.65,4,1,1,22838.4,1
100144,846,Spain,Female,52,5,203287.8,3,1,1,18380.93,1
100145,791,France,Female,75,10,74272.16,3,0,0,91181.66,1
100146,617,France,Female,74,6,53430.29,4,1,1,28460.35,0
100147,859,Spain,Male,26,3,166723.82,1,0,1,151483.17,1
100148,735,Spain,Female,23,9,167580.02,2,1,0,180786.09,1
100149,736,Spain,Female,30,10,225282.81,2,0,1,59441.6,0
100150,462,France,Female,76,8,3986.42,2,1,0,129466.89,1
100151,430,Spain,Male,39,8,213260.17,2,1,1,18044.3,0
100152,462,Spain,Female,45,8,130250.54,4,0,0,83447.25,0
100153,351,Germany,Female,47,9,155325.52,1,0,1,65659.0,0
100154,569,Germany,Male,69,5,22842.86,1,0,1,53437.63,0
100155,574,France,Female,53,1,108153.73,3,0,0,132497.46,1
100156,734,Germany,Male,19,1,56825.6,3,0,0,34743.31,0
100157,752,Germany,Male,75,10,63556.26,1,1,0,173535.0,1
100158,479,Spain,Female,53,3,126023.78,3,0,1,136318.82,0
100159,402,Spain,Female,25,8,203113.99,1,1,1,145039.68,0
100160,765,Germany,Male,62,2,185945.23,4,0,1,187715.42,1
100161,596,Germany,Female,59,5,147749.99,4,0,1,189050.85,0
100162,788,Germany,Female,67,1,134854.55,2,1,1,114813.94,0
100163,552,France,Male,26,0,106826.51,1,1,0,104122.17,0
100164,533,France,Male,79,4,243177.49,4,1,1,73722.51,1
100165,472,France,Female,18,7,140048.14,1,1,0,145958.61,0
100166,750,Germany,Male,30,9,63491.6,3,0,0,112259.69,0
100167,643,Germany,Female,67,9,57522.7,1,1,1,187246.27,1
100168,629,France,Female,32,1,152838.26,2,0,1,55338.93,0
100169,547,France,Female,49,9,130706.88,2,0,0,68948.01,0
100170,860,Germany,Female,51,8,1924.45,4,0,1,70057.19,0
100171,493,Spain,Male,60,7,207516.34,3,1,0,163139.71,1
100172,550,France,Female,78,2,176030.59,3,1,1,28817.66,0
100173,473,Germany,Male,48,0,165457.32,1,1,0,96573.33,1
100174,536,Germany,Female,31,3,17195.16,3,1,1,91240.34,0
100175,675,Spain,Female,71,7,90513.96,2,1,1,23896.53,0
100176,813,Germany,Male,64,2,233845.57,4,1,1,88051.43,0
100177,698,Germany,Female,31,9,215647.31,4,0,0,107541.82,1
100178,752,France,Male,65,1,71385.73,4,1,1,22369.89,0
100179,695,France,Male,72,6,39264.72,3,0,0,106873.8,1
100180,860,Spain,Female,46,3,112271.99,3,0,1,192255.2,0
100181,496,Spain,Female,64,5,88957.59,2,1,1,195993.72,0
100182,497,Germany,Female,36,4,170556.59,1,1,0,111019.16,1
100183,838,France,Female,44,1,241608.7,1,1,0,107868.42,1
100184,687,Spain,Male,26,9,90750.36,4,1,0,64246.55,0
100185,822,Spain,Female,54,1,15556.04,4,0,1,199451.94,0
100186,500,Spain,Female,54,8,224403.5,3,1,1,62103.54,0
100187,764,Germany,Female,60,10,9487.43,4,1,1,96051.25,0
100188,647,France,Female,45,9,238191.47,2,0,1,10557.47,0
100189,612,Spain,Female,69,1,166144.86,2,0,1,76354.14,1
100190,493,France,Male,74,7,235422.3,4,1,1,23573.66,0
100191,695,Spain,Female,41,7,49914.92,4,0,1,151326.71,0
100192,351,Spain,Male,45,0,10174.95,4,1,0,116592.75,0
100193,653,France,Female,53,0,122052.49,4,1,1,118712.66,0
100194,603,France,Female,69,3,112655.85,4,0,0,64437.14,1
100195,802,France,Female,35,1,82873.07,2,0,1,164830.3,0
100196,386,Germany,Male,42,0,239414.12,1,1,0,10621.48,1
100197,509,Spain,Female,52,8,205645.93,2,1,0,73384.22,1
100198,358,Germany,Male,21,2,165395.51,2,1,0,135304.52,1
100199,582,France,Male,31,0,40714.57,4,0,1,182505.28,0
100200,448,Spain,Female,56,1,183580.85,1,0,0,54577.03,1
100201,557,Germany,Male,43,7,181753.11,4,1,0,112809.01,1
100202,480,Spain,Female,25,4,106267.04,2,1,0,112218.37,0
100203,753,Germany,Female,41,10,231196.48,1,0,0,176093.13,1
100204,501,France,Male,33,6,41744.47,3,1,1,19598.21,0
100205,403,Germany,Female,37,5,66834.39,4,0,1,90650.36,0
100206,469,Spain,Female,32,0,15806.08,3,1,1,44668.48,0
100207,769,Spain,Male,24,5,198862.74,3,0,1,14091.19,0
100208,771,Spain,Male,75,10,155439.85,3,1,0,37935.88,1
100209,453,Spain,Male,34,6,78735.08,3,1,1,195529.43,0
100210,603,France,Male,39,3,40953.42,1,1,0,50821.22,1
100211,576,Germany,Male,39,7,10036.94,4,0,1,187655.85,0
100212,461,France,Male,71,7,41686.39,1,1,0,48998.33,1
100213,859,France,Female,29,6,113321.16,4,1,0,186946.09,0
100214,822,France,Male,35,10,61794.24,4,1,0,134377.98,0
100215,448,Spain,Male,73,1,64745.54,4,1,0,31511.53,1
100216,502,Spain,Female,63,5,218894.09,1,1,1,120563.88,1
100217,687,Spain,Female,64,5,128784.42,2,1,1,70517.67,0
100218,512,Germany,Male,32,6,182312.99,3,0,0,82799.1,1
100219,510,Spain,Male,54,5,8927.74,2,0,0,93632.48,1
100220,747,Germany,Female,33,1,91290.84,2,1,1,90314.33,0
100221,626,Spain,Male,22,7,119792.34,2,1,1,136180.69,0
100222,853,Spain,Male,19,3,46604.21,3,0,1,155989.93,0
100223,741,France,Female,69,8,30047.89,2,0,0,72543.76,1
